Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note
2019,8/31/2019,vs.,Akron,W,42,3,
2019,9/7/2019,@,UConn,W,31,23,
2019,9/14/2019,vs.,Eastern Michigan,L,31,34,
2019,9/21/2019,vs.,Nebraska,L,38,42,
2019,10/5/2019,@,Minnesota,L,17,40,
2019,10/12/2019,vs.,Michigan,L,25,42,
2019,10/19/2019,vs.,Wisconsin,W,24,23,Homecoming
2019,10/26/2019,@,Purdue,W,24,6,
2019,11/2/2019,vs.,Rutgers,W,38,10,
2019,11/9/2019,@,Michigan State,W,37,34,
2019,11/23/2019,@,Iowa,L,10,19,
2019,11/30/2019,vs.,Northwestern,L,10,29,
2019,12/30/2019,"Santa Clara, CA",California,L,20,35,Red Box Bowl
2018,9/1/2018,vs.,Kent State,W,31,24,
2018,9/8/2018,vs.,Western Illinois,W,34,14,
2018,9/15/2018,"Chicago, IL",South Florida,L,19,25,
2018,9/21/2018,vs.,Penn State,L,24,63,
2018,10/6/2018,@,Rutgers,W,38,17,
2018,10/13/2018,vs.,Purdue,L,7,46,Homecoming
2018,10/20/2018,@,Wisconsin,L,20,49,
2018,10/27/2018,@,Maryland,L,33,63,
2018,11/3/2018,vs.,Minnesota,W,55,31,
2018,11/10/2018,@,Nebraska,L,35,54,
2018,11/17/2018,vs.,Iowa,L,0,63,
2018,11/24/2018,@,Northwestern,L,16,24,
2017,9/2/2017,vs.,Ball State,W,24,21,
2017,9/9/2017,vs.,Western Kentucky,W,20,7,
2017,9/15/2017,@,South Florida,L,23,47,
2017,9/29/2017,vs.,Nebraska,L,6,28,
2017,10/7/2017,@,Iowa,L,16,45,
2017,10/14/2017,vs.,Rutgers,L,24,35,
2017,10/21/2017,@,Minnesota,L,17,24,
2017,10/28/2017,vs.,Wisconsin,L,10,24,Homecoming
2017,11/4/2017,@,Purdue,L,10,29,
2017,11/11/2017,vs.,Indiana,L,14,24,
2017,11/18/2017,@,Ohio State,L,14,52,
2017,11/25/2017,vs.,Northwestern,L,7,42,
2016,9/3/2016,vs.,Murray State,W,52,3,
2016,9/10/2016,vs.,North Carolina,L,23,48,
2016,9/17/2016,vs.,Western Michigan,L,10,34,
2016,10/1/2016,@,Nebraska,L,16,31,
2016,10/8/2016,vs.,Purdue,L,31,34,
2016,10/15/2016,@,Rutgers,W,24,7,
2016,10/22/2016,@,Michigan,L,8,41,
2016,10/29/2016,vs.,Minnesota,L,17,40,Homecoming
2016,11/5/2016,vs.,Michigan State,W,31,27,
2016,11/12/2016,@,Wisconsin,L,3,48,
2016,11/19/2016,vs.,Iowa,L,0,28,
2016,11/26/2016,@,Northwestern,L,21,42,
2015,9/5/2015,vs.,Kent State,W,52,3,
2015,9/12/2015,vs.,Western Illinois,W,44,0,
2015,9/19/2015,@,North Carolina,L,14,48,
2015,9/26/2015,vs.,Middle Tennessee State,W,27,25,
2015,10/3/2015,vs.,Nebraska,W,14,13,
2015,10/10/2015,@,Iowa,L,20,29,
2015,10/24/2015,vs.,Wisconsin,L,13,24,Homecoming
2015,10/31/2015,@,Penn State,L,0,39,
2015,11/7/2015,@,Purdue,W,48,14,
2015,11/14/2015,vs.,Ohio State,L,3,28,
2015,11/21/2015,@,Minnesota,L,23,32,
2015,11/28/2015,"Chicago, IL",Northwestern,L,14,24,
2014,8/30/2014,vs.,Youngstown State,W,28,17,
2014,9/6/2014,vs.,Western Kentucky,W,42,34,
2014,9/13/2014,@,Washington,L,19,44,
2014,9/20/2014,vs.,Texas State,W,42,35,
2014,9/27/2014,@,Nebraska,L,14,45,
2014,10/4/2014,vs.,Purdue,L,27,38,
2014,10/11/2014,@,Wisconsin,L,28,38,
2014,10/25/2014,vs.,Minnesota,W,28,24,Homecoming
2014,11/1/2014,@,Ohio State,L,14,55,
2014,11/15/2014,vs.,Iowa,L,14,30,
2014,11/22/2014,vs.,Penn State,W,16,14,
2014,11/29/2014,@,Northwestern,W,47,33,
2014,12/26/2014,"Dallas, TX",Louisiana Tech,L,18,35,Heart of Dallas Bowl
2013,8/31/2013,vs.,Southern Illinois,W,42,34,
2013,9/7/2013,vs.,Cincinnati,W,45,17,
2013,9/14/2013,"Chicago, IL",Washington,L,24,34,
2013,9/28/2013,vs.,Miami,W,50,14,
2013,10/5/2013,@,Nebraska,L,19,39,
2013,10/19/2013,vs.,Wisconsin,L,32,56,
2013,10/26/2013,vs.,Michigan State,L,3,42,Homecoming
2013,11/2/2013,@,Penn State,L,17,24,
2013,11/9/2013,@,Indiana,L,35,52,
2013,11/16/2013,vs.,Ohio State,L,35,60,
2013,11/23/2013,@,Purdue,W,20,16,
2013,11/30/2013,vs.,Northwestern,L,34,37,
2012,9/1/2012,vs.,Western Michigan,W,24,7,
2012,9/8/2012,@,Arizona State,L,14,45,
2012,9/15/2012,vs.,Charleston Southern,W,44,0,
2012,9/22/2012,vs.,Louisiana Tech,L,24,52,
2012,9/29/2012,vs.,Penn State,L,7,35,
2012,10/6/2012,@,Wisconsin,L,14,31,
2012,10/13/2012,@,Michigan,L,0,45,
2012,10/27/2012,vs.,Indiana,L,17,31,Homecoming
2012,11/3/2012,@,Ohio State,L,22,52,
2012,11/10/2012,vs.,Minnesota,L,3,17,
2012,11/17/2012,vs.,Purdue,L,17,20,
2012,11/24/2012,@,Northwestern,L,14,50,
2011,9/3/2011,vs.,Arkansas State,W,33,15,
2011,9/10/2011,vs.,South Dakota State,W,56,3,
2011,9/17/2011,vs.,Arizona State,W,17,14,
2011,9/24/2011,vs.,Western Michigan,W,23,20,
2011,10/1/2011,vs.,Northwestern,W,38,35,Homecoming
2011,10/8/2011,@,Indiana,W,41,20,
2011,10/15/2011,vs.,Ohio State,L,7,17,
2011,10/22/2011,@,Purdue,L,14,21,
2011,10/29/2011,@,Penn State,L,7,10,
2011,11/12/2011,vs.,Michigan,L,14,31,
2011,11/19/2011,vs.,Wisconsin,L,17,28,
2011,11/26/2011,@,Minnesota,L,7,27,
2011,12/31/2011,"San Francisco, CA",UCLA,W,20,14,Fight Hunger Bowl
2010,9/4/2010,"St. Louis, MO",Missouri,L,13,23,
2010,9/11/2010,vs.,Southern Illinois,W,35,3,
2010,9/18/2010,vs.,Northern Illinois,W,28,22,
2010,10/2/2010,vs.,Ohio State,L,13,24,
2010,10/9/2010,@,Penn State,W,33,13,
2010,10/16/2010,@,Michigan State,L,6,26,
2010,10/23/2010,vs.,Indiana,W,43,13,Homecoming
2010,10/30/2010,vs.,Purdue,W,44,10,
2010,11/6/2010,@,Michigan,L,65,67,
2010,11/13/2010,vs.,Minnesota,L,34,38,
2010,11/20/2010,"Chicago, IL",Northwestern,W,48,27,
2010,12/3/2010,@,Fresno State,L,23,25,
2010,12/29/2010,"Houston, TX",Baylor,W,38,14,Texas Bowl
2009,9/5/2009,"St. Louis, MO",Missouri,L,9,37,
2009,9/12/2009,vs.,Illinois State,W,45,17,
2009,9/26/2009,@,Ohio State,L,0,30,
2009,10/3/2009,vs.,Penn State,L,17,35,
2009,10/10/2009,vs.,Michigan State,L,14,24,Homecoming
2009,10/17/2009,@,Indiana,L,14,27,
2009,10/24/2009,@,Purdue,L,14,24,
2009,10/31/2009,vs.,Michigan,W,38,13,
2009,11/7/2009,@,Minnesota,W,35,32,
2009,11/14/2009,vs.,Northwestern,L,16,21,
2009,11/27/2009,@,Cincinnati,L,36,49,
2009,12/5/2009,vs.,Fresno State,L,52,53,
2008,8/30/2008,"St. Louis, MO",Missouri,L,42,52,
2008,9/6/2008,vs.,Eastern Illinois,W,47,21,
2008,9/13/2008,vs.,Louisiana-Lafayette,W,20,17,
2008,9/27/2008,@,Penn State,L,24,38,
2008,10/4/2008,@,Michigan,W,45,20,
2008,10/11/2008,vs.,Minnesota,L,20,27,Homecoming
2008,10/18/2008,vs.,Indiana,W,55,13,
2008,10/25/2008,@,Wisconsin,L,17,27,
2008,11/1/2008,vs.,Iowa,W,27,24,
2008,11/8/2008,"Detroit, MI",Western Michigan,L,17,23,
2008,11/15/2008,vs.,Ohio State,L,20,30,
2008,11/22/2008,@,Northwestern,L,10,27,
2007,1/1/2008,"Pasadena, CA",Southern California,L,17,49,Rose Bowl
2007,9/1/2007,"St. Louis, MO",Missouri,L,34,40,
2007,9/8/2007,vs.,Western Illinois,W,21,0,
2007,9/15/2007,@,Syracuse,W,41,20,
2007,9/22/2007,@,Indiana,W,27,14,
2007,9/29/2007,vs.,Penn State,W,27,20,
2007,10/6/2007,vs.,Wisconsin,W,31,26,
2007,10/13/2007,@,Iowa,L,6,10,
2007,10/20/2007,vs.,Michigan,L,17,27,
2007,10/27/2007,vs.,Ball State,W,28,17,Homecoming
2007,11/3/2007,@,Minnesota,W,44,17,
2007,11/10/2007,@,Ohio State,W,28,21,
2007,11/17/2007,vs.,Northwestern,W,41,22,
2006,9/2/2006,vs.,Eastern Illinois,W,42,17,
2006,9/9/2006,@,Rutgers,L,0,33,
2006,9/16/2006,vs.,Syracuse,L,21,31,
2006,9/23/2006,vs.,Iowa,L,7,24,
2006,9/30/2006,@,Michigan State,W,23,20,
2006,10/7/2006,vs.,Indiana,L,32,34,Homecoming
2006,10/14/2006,vs.,Ohio,L,17,20,
2006,10/21/2006,@,Penn State,L,12,26,
2006,10/28/2006,@,Wisconsin,L,24,30,
2006,11/4/2006,vs.,Ohio State,L,10,17,
2006,11/11/2006,vs.,Purdue,L,31,42,
2006,11/18/2006,@,Northwestern,L,16,27,
2005,9/3/2005,vs.,Rutgers,W,33,30,
2005,9/10/2005,vs.,San Jose State,W,40,19,
2005,9/17/2005,@,California,L,20,35,
2005,9/24/2005,vs.,Michigan State,L,14,61,
2005,10/1/2005,@,Iowa,L,7,35,
2005,10/8/2005,@,Indiana,L,13,36,
2005,10/22/2005,vs.,Penn State,L,10,63,Homecoming
2005,10/29/2005,vs.,Wisconsin,L,24,41,
2005,11/5/2005,@,Ohio State,L,2,40,
2005,11/12/2005,@,Purdue,L,3,37,
2005,11/19/2005,vs.,Northwestern,L,21,38,
2004,9/4/2004,vs.,Florida A&M,W,52,13,
2004,9/11/2004,vs.,UCLA,L,17,35,
2004,9/18/2004,vs.,Western Michigan,W,30,27,
2004,9/25/2004,vs.,Purdue,L,30,38,
2004,10/2/2004,@,Wisconsin,L,7,24,
2004,10/9/2004,@,Michigan State,L,25,38,
2004,10/16/2004,vs.,Michigan,L,19,30,
2004,10/23/2004,@,Minnesota,L,0,45,
2004,10/30/2004,vs.,Iowa,L,13,23,Homecoming
2004,11/6/2004,vs.,Indiana,W,26,22,
2004,11/20/2004,@,Northwestern,L,21,28,
2003,8/30/2003,"St. Louis, MO",Missouri,L,15,22,
2003,9/6/2003,vs.,Illinois State,W,49,22,
2003,9/13/2003,@,UCLA,L,3,6,
2003,9/20/2003,vs.,California,L,24,31,
2003,9/27/2003,vs.,Wisconsin,L,20,38,
2003,10/4/2003,@,Purdue,L,10,43,
2003,10/11/2003,vs.,Michigan State,L,14,49,
2003,10/18/2003,@,Michigan,L,14,56,
2003,10/25/2003,vs.,Minnesota,L,10,36,Homecoming
2003,11/1/2003,@,Iowa,L,10,41,
2003,11/8/2003,@,Indiana,L,14,17,
2003,11/22/2003,vs.,Northwestern,L,20,37,
2002,8/31/2002,"St. Louis, MO",Missouri,L,20,33,
2002,9/7/2002,@,Southern Mississippi,L,20,23,
2002,9/14/2002,vs.,Arkansas State,W,59,7,
2002,9/21/2002,vs.,San Jose State,L,35,38,
2002,9/28/2002,vs.,Michigan,L,28,45,
2002,10/3/2002,@,Minnesota,L,10,31,
2002,10/12/2002,vs.,Purdue,W,38,31,
2002,10/26/2002,vs.,Indiana,W,45,14,Homecoming
2002,11/2/2002,@,Penn State,L,7,18,
2002,11/9/2002,@,Wisconsin,W,37,20,
2002,11/16/2002,vs.,Ohio State,L,16,23,
2002,11/23/2002,@,Northwestern,W,31,24,
2001,1/1/2002,"New Orleans, LA",Louisiana State,L,34,47,Sugar Bowl
2001,9/1/2001,@,California,W,44,17,
2001,9/8/2001,vs.,Northern Illinois,W,17,12,
2001,9/22/2001,vs.,Louisville,W,34,10,
2001,9/29/2001,@,Michigan,L,20,45,
2001,10/6/2001,vs.,Minnesota,W,25,14,
2001,10/13/2001,@,Indiana,W,35,14,
2001,10/20/2001,vs.,Wisconsin,W,42,35,Homecoming
2001,11/3/2001,@,Purdue,W,38,13,
2001,11/10/2001,vs.,Penn State,W,33,28,
2001,11/17/2001,@,Ohio State,W,34,22,
2001,11/22/2001,vs.,Northwestern,W,34,28,
2000,9/2/2000,vs.,Middle Tennessee State,W,35,6,
2000,9/9/2000,@,San Diego State,W,49,13,
2000,9/16/2000,vs.,California,W,17,15,
2000,9/23/2000,vs.,Michigan,L,31,35,
2000,9/30/2000,@,Minnesota,L,10,44,
2000,10/14/2000,vs.,Iowa,W,31,0,Homecoming
2000,10/21/2000,@,Penn State,L,25,39,
2000,10/28/2000,@,Michigan State,L,10,14,
2000,11/4/2000,vs.,Indiana,W,42,35,
2000,11/11/2000,vs.,Ohio State,L,21,24,
2000,11/18/2000,@,Northwestern,L,23,61,
1999,9/4/1999,vs.,Arkansas State,W,41,3,
1999,9/11/1999,vs.,San Diego State,W,38,10,
1999,9/18/1999,@,Louisville,W,41,36,
1999,9/25/1999,vs.,Michigan State,L,10,27,
1999,10/2/1999,@,Indiana,L,31,34,
1999,10/16/1999,vs.,Minnesota,L,7,37,Homecoming
1999,10/23/1999,@,Michigan,W,35,29,
1999,10/30/1999,vs.,Penn State,L,7,27,
1999,11/6/1999,@,Iowa,W,40,24,
1999,11/13/1999,@,Ohio State,W,46,20,
1999,11/20/1999,vs.,Northwestern,W,29,7,
1999,12/30/1999,"Miami, FL",Virginia,W,63,21,Micron PC Bowl
1998,9/5/1998,@,Washington State,L,13,20,
1998,9/12/1998,vs.,Middle Tennessee State,W,48,20,
1998,9/19/1998,vs.,Louisville,L,9,35,
1998,9/26/1998,vs.,Iowa,L,14,37,
1998,10/3/1998,@,Northwestern,W,13,10,
1998,10/10/1998,vs.,Ohio State,L,0,41,
1998,10/17/1998,vs.,Wisconsin,L,3,37,Homecoming
1998,10/24/1998,@,Purdue,L,9,42,
1998,10/31/1998,@,Penn State,L,0,27,
1998,11/7/1998,vs.,Indiana,W,31,16,
1998,11/21/1998,@,Michigan State,L,9,41,
1997,9/6/1997,vs.,Southern Mississippi,L,7,24,
1997,9/13/1997,@,Louisville,L,14,26,
1997,9/20/1997,vs.,Washington State,L,22,35,
1997,9/27/1997,@,Iowa,L,10,38,
1997,10/4/1997,vs.,Penn State,L,6,41,
1997,10/11/1997,@,Wisconsin,L,7,31,
1997,10/25/1997,vs.,Purdue,L,3,48,Homecoming
1997,11/1/1997,@,Indiana,L,6,23,
1997,11/8/1997,vs.,Northwestern,L,21,34,
1997,11/15/1997,@,Ohio State,L,6,41,
1997,11/22/1997,vs.,Michigan State,L,17,27,
1996,8/31/1996,@,Michigan,L,8,20,
1996,9/7/1996,vs.,Southern California,L,3,55,
1996,9/14/1996,@,Arizona,L,0,41,
1996,9/21/1996,vs.,Akron,W,38,7,
1996,10/5/1996,vs.,Indiana,W,46,43,
1996,10/12/1996,@,Michigan State,L,14,42,
1996,10/26/1996,@,Northwestern,L,24,27,
1996,11/2/1996,vs.,Iowa,L,21,31,Homecoming
1996,11/9/1996,vs.,Ohio State,L,0,48,
1996,11/16/1996,@,Minnesota,L,21,23,
1996,11/23/1996,vs.,Wisconsin,L,15,35,
1995,9/2/1995,vs.,Michigan,L,14,38,
1995,9/9/1995,@,Oregon,L,31,34,
1995,9/16/1995,vs.,Arizona,W,9,7,
1995,9/23/1995,vs.,East Carolina,W,7,0,
1995,10/7/1995,@,Indiana,W,17,10,
1995,10/14/1995,vs.,Michigan State,L,21,27,
1995,10/28/1995,vs.,Northwestern,L,14,17,Homecoming
1995,11/4/1995,@,Iowa,W,26,7,
1995,11/11/1995,@,Ohio State,L,3,41,
1995,11/18/1995,vs.,Minnesota,W,48,14,
1995,11/25/1995,@,Wisconsin,T,3,3,
1994,9/1/1994,"Chicago, IL",Washington State,L,9,10,
1994,9/10/1994,vs.,Missouri,W,42,0,
1994,9/17/1994,vs.,Northern Illinois,W,34,10,
1994,10/1/1994,vs.,Purdue,L,16,22,Homecoming
1994,10/8/1994,@,Ohio State,W,24,10,
1994,10/15/1994,vs.,Iowa,W,47,7,
1994,10/22/1994,vs.,Michigan,L,14,19,
1994,10/29/1994,@,Northwestern,W,28,7,
1994,11/5/1994,@,Minnesota,W,21,17,
1994,11/12/1994,vs.,Penn State,L,31,35,
1994,11/19/1994,@,Wisconsin,L,13,19,
1994,12/31/1994,"Memphis, TN",East Carolina,W,30,0,Liberty Bowl
1993,9/11/1993,@,Missouri,L,3,31,
1993,9/18/1993,vs.,Arizona,L,14,16,
1993,9/25/1993,vs.,Oregon,L,7,13,
1993,10/2/1993,@,Purdue,W,28,10,
1993,10/9/1993,vs.,Ohio State,L,12,20,
1993,10/16/1993,@,Iowa,W,49,3,
1993,10/23/1993,@,Michigan,W,24,21,
1993,10/30/1993,vs.,Northwestern,W,20,13,Homecoming
1993,11/6/1993,vs.,Minnesota,W,23,20,
1993,11/13/1993,@,Penn State,L,14,28,
1993,11/20/1993,vs.,Wisconsin,L,10,35,
1992,9/5/1992,vs.,Northern Illinois,W,30,14,
1992,9/12/1992,vs.,Missouri,W,24,17,
1992,9/19/1992,@,Houston,L,13,31,
1992,10/3/1992,@,Minnesota,L,17,18,
1992,10/10/1992,@,Ohio State,W,18,16,
1992,10/17/1992,vs.,Iowa,L,14,24,
1992,10/24/1992,vs.,Northwestern,L,26,27,Homecoming
1992,10/31/1992,@,Wisconsin,W,13,12,
1992,11/7/1992,vs.,Purdue,W,20,17,
1992,11/14/1992,@,Michigan,T,22,22,
1992,11/21/1992,vs.,Michigan State,W,14,10,
1992,12/30/1992,"San Diego, CA",Hawaii,L,17,27,Holiday Bowl
1991,8/31/1991,vs.,East Carolina,W,38,31,
1991,9/14/1991,@,Missouri,L,19,23,
1991,9/21/1991,vs.,Houston,W,51,10,
1991,10/5/1991,vs.,Minnesota,W,24,3,Homecoming
1991,10/12/1991,vs.,Ohio State,W,10,7,
1991,10/19/1991,@,Iowa,L,21,24,
1991,10/26/1991,@,Northwestern,L,11,17,
1991,11/2/1991,vs.,Wisconsin,W,22,6,
1991,11/9/1991,@,Purdue,W,41,14,
1991,11/16/1991,vs.,Michigan,L,0,20,
1991,11/23/1991,@,Michigan State,L,24,27,
1991,12/31/1991,"El Paso, TX",UCLA,L,3,6,Sun Bowl
1990,1/1/1991,"Tampa, FL",Clemson,L,0,30,Hall of Fame Bowl
1990,9/8/1990,@,Arizona,L,16,28,
1990,9/15/1990,vs.,Colorado,W,23,22,
1990,9/22/1990,vs.,Southern Illinois,W,56,21,
1990,10/6/1990,@,Ohio State,W,31,20,
1990,10/13/1990,vs.,Purdue,W,34,0,
1990,10/20/1990,vs.,Michigan State,W,15,13,
1990,10/27/1990,@,Wisconsin,W,21,3,
1990,11/3/1990,vs.,Iowa,L,28,54,
1990,11/10/1990,@,Michigan,L,17,22,Homecoming
1990,11/17/1990,@,Indiana,W,24,10,
1990,11/24/1990,vs.,Northwestern,W,28,23,
1989,1/1/1990,"Orlando, FL",Virginia,W,31,21,Citrus Bowl
1989,9/4/1989,@,Southern California,W,14,13,
1989,9/16/1989,@,Colorado,L,7,38,
1989,9/23/1989,vs.,Utah State,W,41,2,
1989,10/7/1989,vs.,Ohio State,W,34,14,
1989,10/14/1989,@,Purdue,W,14,2,
1989,10/21/1989,@,Michigan State,W,14,10,
1989,10/28/1989,vs.,Wisconsin,W,32,9,Homecoming
1989,11/4/1989,@,Iowa,W,31,7,
1989,11/11/1989,vs.,Michigan,L,10,24,
1989,11/18/1989,vs.,Indiana,W,41,28,
1989,11/25/1989,@,Northwestern,W,63,14,
1988,9/3/1988,vs.,Washington State,L,7,44,
1988,9/10/1988,@,Arizona State,L,16,21,
1988,9/17/1988,vs.,Utah,W,35,24,
1988,10/1/1988,@,Ohio State,W,31,12,
1988,10/8/1988,vs.,Purdue,W,20,0,
1988,10/15/1988,@,Wisconsin,W,34,6,
1988,10/22/1988,vs.,Michigan State,L,21,28,Homecoming
1988,10/29/1988,@,Minnesota,T,27,27,
1988,11/5/1988,vs.,Indiana,W,21,20,
1988,11/12/1988,@,Michigan,L,9,38,
1988,11/19/1988,vs.,Northwestern,W,14,9,
1988,12/29/1988,"Birmingham, AL",Florida,L,10,14,All-American Bowl
1987,9/5/1987,@,North Carolina,L,14,34,
1987,9/12/1987,vs.,Arizona State,L,7,21,
1987,9/19/1987,vs.,East Carolina,W,20,10,
1987,10/3/1987,vs.,Ohio State,L,6,10,
1987,10/10/1987,@,Purdue,L,3,9,
1987,10/17/1987,vs.,Wisconsin,W,16,14,
1987,10/24/1987,@,Michigan State,T,14,14,
1987,10/31/1987,vs.,Minnesota,W,27,17,Homecoming
1987,11/7/1987,@,Indiana,L,22,34,
1987,11/14/1987,vs.,Michigan,L,14,17,
1987,11/21/1987,@,Northwestern,L,10,28,
1986,9/6/1986,vs.,Louisville,W,23,0,
1986,9/13/1986,@,Southern California,L,16,31,
1986,9/20/1986,vs.,Nebraska,L,14,59,
1986,10/4/1986,@,Ohio State,L,0,14,
1986,10/11/1986,vs.,Purdue,W,34,27,
1986,10/18/1986,vs.,Michigan State,L,21,29,Homecoming
1986,10/25/1986,@,Wisconsin,L,9,15,
1986,11/1/1986,@,Michigan,L,13,69,
1986,11/8/1986,vs.,Iowa,W,20,16,
1986,11/15/1986,@,Indiana,W,21,16,
